,id,median_age,Geographic Area Name,year,total_pop
351,0500000US12065,47.2,"Jefferson County, Florida",2018,14105
352,0500000US12067,39.1,"Lafayette County, Florida",2018,8744
353,0500000US12069,46.8,"Lake County, Florida",2018,335362
354,0500000US12071,48.1,"Lee County, Florida",2018,718679
355,0500000US12073,30.7,"Leon County, Florida",2018,288102
356,0500000US12075,46.8,"Levy County, Florida",2018,39961
357,0500000US12077,40.3,"Liberty County, Florida",2018,8365
358,0500000US12079,42.9,"Madison County, Florida",2018,18474
359,0500000US12081,48.0,"Manatee County, Florida",2018,373853
360,0500000US12083,48.6,"Marion County, Florida",2018,348371
361,0500000US12085,51.9,"Martin County, Florida",2018,157581
362,0500000US12086,39.7,"Miami-Dade County, Florida",2018,2715516
363,0500000US12087,47.3,"Monroe County, Florida",2018,76325
364,0500000US12089,45.0,"Nassau County, Florida",2018,80578
365,0500000US12091,36.8,"Okaloosa County, Florida",2018,200737
366,0500000US12093,41.1,"Okeechobee County, Florida",2018,40572
367,0500000US12095,34.9,"Orange County, Florida",2018,1321194
368,0500000US12097,35.8,"Osceola County, Florida",2018,338619
369,0500000US12099,44.6,"Palm Beach County, Florida",2018,1446277
370,0500000US12101,44.6,"Pasco County, Florida",2018,510593
371,0500000US12103,47.8,"Pinellas County, Florida",2018,957875
372,0500000US12105,40.3,"Polk County, Florida",2018,668671
373,0500000US12107,45.0,"Putnam County, Florida",2018,72766
374,0500000US12109,43.4,"St. Johns County, Florida",2018,235503
375,0500000US12111,44.8,"St. Lucie County, Florida",2018,305591
376,0500000US12113,39.7,"Santa Rosa County, Florida",2018,170442
377,0500000US12115,55.5,"Sarasota County, Florida",2018,412144
378,0500000US12117,39.2,"Seminole County, Florida",2018,455086
379,0500000US12119,67.0,"Sumter County, Florida",2018,120999
380,0500000US12121,42.5,"Suwannee County, Florida",2018,43924
381,0500000US12123,41.7,"Taylor County, Florida",2018,22098
382,0500000US12125,39.5,"Union County, Florida",2018,15239
383,0500000US12127,46.5,"Volusia County, Florida",2018,527634
384,0500000US12129,40.7,"Wakulla County, Florida",2018,31877
385,0500000US12131,43.7,"Walton County, Florida",2018,65858
386,0500000US12133,41.8,"Washington County, Florida",2018,24566
387,0500000US13001,39.0,"Appling County, Georgia",2018,18454
388,0500000US13003,35.5,"Atkinson County, Georgia",2018,8265
389,0500000US13005,37.0,"Bacon County, Georgia",2018,11228
390,0500000US13007,47.0,"Baker County, Georgia",2018,3189
391,0500000US13009,35.3,"Baldwin County, Georgia",2018,45286
392,0500000US13011,41.1,"Banks County, Georgia",2018,18510
393,0500000US13013,35.4,"Barrow County, Georgia",2018,76887
394,0500000US13015,37.9,"Bartow County, Georgia",2018,103620
395,0500000US13017,39.7,"Ben Hill County, Georgia",2018,17154
396,0500000US13019,39.7,"Berrien County, Georgia",2018,19025
397,0500000US13021,36.2,"Bibb County, Georgia",2018,153490
398,0500000US13023,36.8,"Bleckley County, Georgia",2018,12775
399,0500000US13025,40.9,"Brantley County, Georgia",2018,18561
400,0500000US13027,43.0,"Brooks County, Georgia",2018,15622
401,0500000US13029,34.6,"Bryan County, Georgia",2018,35885
402,0500000US13031,28.5,"Bulloch County, Georgia",2018,74782
403,0500000US13033,37.5,"Burke County, Georgia",2018,22550
404,0500000US13035,38.5,"Butts County, Georgia",2018,23750
405,0500000US13037,38.8,"Calhoun County, Georgia",2018,6428
406,0500000US13039,32.3,"Camden County, Georgia",2018,52714
407,0500000US13043,37.8,"Candler County, Georgia",2018,10827
408,0500000US13045,34.5,"Carroll County, Georgia",2018,116022
409,0500000US13047,39.9,"Catoosa County, Georgia",2018,66299
410,0500000US13049,41.7,"Charlton County, Georgia",2018,12983
411,0500000US13051,35.2,"Chatham County, Georgia",2018,287049
412,0500000US13053,23.7,"Chattahoochee County, Georgia",2018,10767
413,0500000US13055,39.5,"Chattooga County, Georgia",2018,24817
414,0500000US13057,38.3,"Cherokee County, Georgia",2018,241910
415,0500000US13059,27.7,"Clarke County, Georgia",2018,124602
416,0500000US13061,45.1,"Clay County, Georgia",2018,3001
417,0500000US13063,32.4,"Clayton County, Georgia",2018,278666
418,0500000US13065,37.7,"Clinch County, Georgia",2018,6743
419,0500000US13067,36.5,"Cobb County, Georgia",2018,745057
420,0500000US13069,36.2,"Coffee County, Georgia",2018,42961
421,0500000US13071,36.4,"Colquitt County, Georgia",2018,45606
422,0500000US13073,36.6,"Columbia County, Georgia",2018,147295
423,0500000US13075,37.4,"Cook County, Georgia",2018,17184
424,0500000US13077,38.5,"Coweta County, Georgia",2018,140516
425,0500000US13079,44.4,"Crawford County, Georgia",2018,12344
426,0500000US13081,38.8,"Crisp County, Georgia",2018,22846
427,0500000US13083,42.2,"Dade County, Georgia",2018,16227
428,0500000US13085,43.4,"Dawson County, Georgia",2018,23861
429,0500000US13087,38.1,"Decatur County, Georgia",2018,26833
430,0500000US13089,35.6,"DeKalb County, Georgia",2018,743187
431,0500000US13091,41.6,"Dodge County, Georgia",2018,20919
432,0500000US13093,43.7,"Dooly County, Georgia",2018,13905
433,0500000US13095,35.1,"Dougherty County, Georgia",2018,91049
434,0500000US13097,36.4,"Douglas County, Georgia",2018,141840
435,0500000US13099,40.7,"Early County, Georgia",2018,10348
436,0500000US13101,40.9,"Echols County, Georgia",2018,3994
437,0500000US13103,36.1,"Effingham County, Georgia",2018,58689
438,0500000US13105,42.6,"Elbert County, Georgia",2018,19212
439,0500000US13107,36.8,"Emanuel County, Georgia",2018,22499
440,0500000US13109,37.7,"Evans County, Georgia",2018,10727
