,poverty_rate,per_capita_income_2007,year,fips
599,17.5,35683.0,2007,16073.0
600,14.5,42754.0,2007,16075.0
601,16.1,38259.0,2007,16077.0
602,17.5,35095.0,2007,16079.0
603,8.7,51900.0,2007,16081.0
604,12.8,39977.0,2007,16083.0
605,9.3,50868.0,2007,16085.0
606,15.4,37009.0,2007,16087.0
608,11.8,43602.0,2007,17001.0
609,27.7,28443.0,2007,17003.0
610,11.9,46974.0,2007,17005.0
611,9.8,59405.0,2007,17007.0
612,16.1,42205.0,2007,17009.0
613,9.9,45794.0,2007,17011.0
614,10.9,43889.0,2007,17013.0
615,12.2,41515.0,2007,17015.0
616,12.0,40318.0,2007,17017.0
617,18.2,44237.0,2007,17019.0
618,13.0,41660.0,2007,17021.0
619,11.5,44826.0,2007,17023.0
620,13.7,36401.0,2007,17025.0
621,9.5,52996.0,2007,17027.0
622,20.0,36007.0,2007,17029.0
623,14.6,52554.0,2007,17031.0
624,14.7,41724.0,2007,17033.0
625,12.3,40875.0,2007,17035.0
626,11.5,54945.0,2007,17037.0
627,9.5,47415.0,2007,17039.0
628,8.7,46166.0,2007,17041.0
629,4.8,73818.0,2007,17043.0
630,12.9,40544.0,2007,17045.0
631,11.6,40970.0,2007,17047.0
632,10.1,48003.0,2007,17049.0
633,14.3,38527.0,2007,17051.0
634,8.7,46388.0,2007,17053.0
635,17.6,33963.0,2007,17055.0
636,12.6,40668.0,2007,17057.0
637,19.9,33799.0,2007,17059.0
638,14.0,37685.0,2007,17061.0
639,5.4,62835.0,2007,17063.0
640,12.5,37500.0,2007,17065.0
641,10.8,45213.0,2007,17067.0
642,20.9,33455.0,2007,17069.0
643,11.4,40939.0,2007,17071.0
644,9.8,46209.0,2007,17073.0
645,11.9,44003.0,2007,17075.0
646,28.6,31146.0,2007,17077.0
647,11.1,42723.0,2007,17079.0
648,15.7,41705.0,2007,17081.0
649,9.7,54031.0,2007,17083.0
650,8.6,48000.0,2007,17085.0
651,14.2,42277.0,2007,17087.0
652,7.8,68513.0,2007,17089.0
653,13.0,47009.0,2007,17091.0
654,3.7,77938.0,2007,17093.0
655,17.6,37880.0,2007,17095.0
656,6.3,77904.0,2007,17097.0
657,10.3,48218.0,2007,17099.0
658,15.3,37921.0,2007,17101.0
659,9.8,47602.0,2007,17103.0
660,11.3,47442.0,2007,17105.0
661,11.0,44690.0,2007,17107.0
662,23.4,34690.0,2007,17109.0
663,5.3,74115.0,2007,17111.0
664,12.5,55018.0,2007,17113.0
665,15.9,44752.0,2007,17115.0
666,12.0,44025.0,2007,17117.0
667,11.3,52073.0,2007,17119.0
668,15.6,38262.0,2007,17121.0
669,8.1,48338.0,2007,17123.0
670,12.5,42946.0,2007,17125.0
671,15.0,38461.0,2007,17127.0
672,8.7,55268.0,2007,17129.0
673,8.1,48778.0,2007,17131.0
674,4.5,66748.0,2007,17133.0
675,13.8,39530.0,2007,17135.0
676,15.2,41833.0,2007,17137.0
677,8.8,46868.0,2007,17139.0
678,7.9,54425.0,2007,17141.0
679,13.6,47150.0,2007,17143.0
