,total_pop,pct_female,pct_white,pct_black,pct_native_american,pct_asian,pct_native_hawaiian_pacific_islander,pct_two_or_more_races,pct_hispanic,fips
232,2898,49.1,93.9,0.1,2.4,0.0,0.0,0.6,10.1,06091
233,43516,50.2,83.2,1.5,3.9,1.3,0.4,7.9,12.9,06093
234,444538,50.2,50.7,13.7,0.6,15.6,0.9,9.3,26.8,06095
235,496801,51.2,72.5,1.7,0.9,4.3,0.3,7.0,27.0,06097
236,546235,50.5,70.4,3.1,0.9,5.9,0.6,8.7,46.9,06099
237,96315,50.1,63.7,2.0,1.1,16.6,0.6,9.9,31.3,06101
238,64176,50.4,84.1,0.7,1.3,1.7,0.0,6.9,25.6,06103
239,12541,49.2,85.3,0.5,5.8,1.9,0.3,2.6,7.4,06105
240,463955,50.0,66.8,1.6,1.3,3.7,0.1,8.0,65.1,06107
241,54147,48.2,86.6,1.9,1.8,1.4,0.3,5.2,12.6,06109
242,845599,50.5,75.4,1.8,0.8,7.2,0.2,8.5,42.8,06111
243,218774,51.5,66.4,2.6,0.6,14.4,0.5,9.7,31.7,06113
244,77524,49.2,73.5,3.4,1.3,7.3,0.4,9.8,28.8,06115
245,509844,49.5,75.9,3.4,1.1,4.0,0.2,8.8,40.4,08001
246,16153,50.6,79.3,0.7,3.5,1.3,0.5,7.1,47.1,08003
247,649980,50.4,69.6,11.0,0.7,6.2,0.2,6.4,19.5,08005
248,13588,50.6,82.4,1.2,2.2,1.1,0.1,2.3,18.4,08007
249,3570,49.9,92.1,0.9,2.0,0.0,0.1,2.8,11.3,08009
250,5677,37.7,81.6,4.8,3.7,0.7,0.0,6.1,32.3,08011
251,324682,49.7,87.2,0.9,0.5,4.9,0.1,4.4,13.8,08013
252,69444,50.0,85.6,1.5,0.5,6.6,0.0,4.7,12.6,08014
253,19977,47.2,91.9,2.1,0.4,0.9,0.5,2.3,10.0,08015
254,1999,52.2,89.9,0.2,0.0,1.1,0.3,8.5,10.4,08017
255,9533,49.3,94.7,1.0,0.7,1.1,0.0,2.5,7.2,08019
256,8130,49.7,82.9,0.3,2.4,0.3,0.0,9.0,52.2,08021
257,3810,47.7,76.7,0.3,2.0,1.1,0.0,15.5,61.4,08023
258,5733,32.5,78.4,5.0,3.3,1.3,0.0,11.4,31.9,08025
259,4941,51.6,93.4,1.7,0.1,0.4,0.0,1.1,11.7,08027
260,30758,49.6,93.4,1.2,0.8,0.9,0.0,2.5,15.2,08029
261,715878,49.9,72.2,9.2,0.8,3.6,0.2,7.1,29.5,08031
262,1896,44.8,90.1,0.0,4.9,0.0,0.0,1.4,14.1,08033
263,344280,50.0,87.5,1.5,0.4,5.1,0.1,4.0,8.9,08035
264,54960,46.9,86.5,1.0,0.2,0.6,0.0,7.2,29.3,08037
