year,fips,covid_cases
2022,13043,1418
2020,13045,5200
2021,13045,10993
2022,13045,14860
2020,13047,3185
2021,13047,9002
2022,13047,13052
2020,13049,837
2021,13049,1759
2022,13049,2287
2020,13051,12691
2021,13051,34995
2022,13051,56968
2020,13053,2148
2021,13053,5519
2022,13053,6627
2020,13055,1513
2021,13055,3865
2022,13055,5350
2020,13057,12582
2021,13057,34567
2022,13057,47771
2020,13059,8408
2021,13059,19088
2022,13059,27406
2020,13061,145
2021,13061,239
2022,13061,371
2020,13063,13010
2021,13063,41129
2022,13063,61356
2020,13065,550
2021,13065,1034
2022,13065,1404
2020,13067,36240
2021,13067,99149
2022,13067,148811
2020,13069,3395
2021,13069,6435
2022,13069,8335
2020,13071,2532
2021,13071,5752
2022,13071,8119
2020,13073,7140
2021,13073,15377
2022,13073,21751
2020,13075,981
2021,13075,1696
2022,13075,2098
2020,13077,5113
2021,13077,15373
2022,13077,22605
2020,13079,357
2021,13079,860
2022,13079,1220
2020,13081,962
2021,13081,1895
2022,13081,2563
2020,13083,708
2021,13083,1964
2022,13083,2770
2020,13085,1651
2021,13085,4532
2022,13085,6432
2020,13087,1599
2021,13087,3566
2022,13087,5441
2020,13089,34904
2021,13089,92145
2022,13089,143933
2020,13091,813
2021,13091,1561
2022,13091,2134
2020,13093,529
2021,13093,1107
2022,13093,1553
2020,13095,3975
2021,13095,9490
2022,13095,14660
2020,13097,6712
2021,13097,20586
2022,13097,29926
2020,13099,701
2021,13099,1565
2022,13099,2139
2020,13101,314
2021,13101,415
2022,13101,469
2020,13103,2409
2021,13103,7249
2022,13103,10842
2020,13105,1136
2021,13105,2126
2022,13105,2680
2020,13107,1408
2021,13107,2729
2022,13107,3472
2020,13109,584
2021,13109,1156
2022,13109,1539
2020,13111,1265
2021,13111,3363
2022,13111,4252
2020,13113,3712
2021,13113,11744
2022,13113,18912
2020,13115,6676
2021,13115,16706
2022,13115,23508
2020,13117,9174
2021,13117,30317
2022,13117,47075
2020,13119,1622
2021,13119,3419
2022,13119,4453
2020,13121,50176
2021,13121,134495
2022,13121,204497
2020,13123,1590
2021,13123,3651
2022,13123,4743
2020,13125,86
2021,13125,198
2022,13125,276
2020,13127,4750
2021,13127,12793
2022,13127,18721
2020,13129,4022
2021,13129,9190
2022,13129,12250
2020,13131,1069
2021,13131,2508
2022,13131,3793
2020,13133,932
2021,13133,2430
2022,13133,3305
2020,13135,50631
2021,13135,125296
2022,13135,186551
2020,13137,3455
2021,13137,6789
2022,13137,8587
2020,13139,17233
2021,13139,36440
2022,13139,48667
2020,13141,630
2021,13141,1061
2022,13141,1402
2020,13143,1214
2021,13143,2530
2022,13143,3530
2020,13145,1243
2021,13145,3429
2022,13145,5316
2020,13147,1114
2021,13147,2416
2022,13147,3266
2020,13149,416
2021,13149,1131
2022,13149,1512
2020,13151,10834
2021,13151,33861
2022,13151,48682
2020,13153,5994
2021,13153,16979
2022,13153,24470
2020,13155,546
2021,13155,914
2022,13155,1059
2020,13157,5015
2021,13157,13813
2022,13157,18997
2020,13159,393
2021,13159,1145
2022,13159,1759
2020,13161,948
2021,13161,1829
2022,13161,2346
2020,13163,1131
2021,13163,1884
2022,13163,2263
2020,13165,518
2021,13165,899
2022,13165,1109
2020,13167,544
2021,13167,1052
2022,13167,1490
2020,13169,1014
2021,13169,2767
2022,13169,3853
2020,13171,781
2021,13171,2422
2022,13171,3358
2020,13173,395
2021,13173,811
2022,13173,1114
2020,13175,2684
2021,13175,6194
2022,13175,8840
2020,13177,1063
2021,13177,2763
2022,13177,3985
2020,13179,1790
2021,13179,6838
2022,13179,11472
2020,13181,331
2021,13181,724
2022,13181,873
2020,13183,431
2021,13183,1428
2022,13183,2320
2020,13185,6075
2021,13185,11445
2022,13185,15827
2020,13187,1838
2021,13187,4813
2022,13187,6869
2020,13189,978
2021,13189,2386
2022,13189,3043
2020,13191,444
2021,13191,1432
2022,13191,2042
2020,13193,363
2021,13193,873
2022,13193,1236
2020,13195,1557
2021,13195,4448
2022,13195,6103
2020,13197,250
2021,13197,685
2022,13197,978
2020,13199,837
2021,13199,2450
2022,13199,3393
