,poverty_rate,fips,year,per_capita_income_2022
655,9.5,2170,2007,92255.98
656,9.3,2170,2008,96626.25
657,8.7,2170,2009,96505.54000000001
658,18.1,2180,2002,63089.399999999994
659,17.2,2180,2003,62669.25000000001
660,18.2,2180,2004,62415.6
661,21.7,2180,2005,64786.96
662,23.1,2180,2006,65316.02
663,23.1,2180,2007,66657.64
664,20.9,2180,2008,63304.200000000004
665,21.3,2180,2009,65998.38
666,10.6,2185,2002,95401.34999999999
667,11.4,2185,2003,93093.42000000001
668,12.4,2185,2004,91667.16
669,12.7,2185,2005,95395.2
670,13.7,2185,2006,95018.26
671,13.8,2185,2007,97396.37999999999
672,11.4,2185,2008,97873.65000000001
673,7.8,2185,2009,102828.09000000001
674,16.5,2188,2002,70791.59999999999
675,16.9,2188,2003,67990.3
676,18,2188,2004,65872.56
677,20.6,2188,2005,73385.6
678,22.2,2188,2006,71017.31999999999
679,21.2,2188,2007,71238.56
680,16.5,2188,2008,77923.35
681,15.0,2188,2009,71612.64
682,9.2,2195,2009,70382.38
683,15.4,2198,2009,59197.700000000004
684,16.6,2201,2002,57347.399999999994
685,13.8,2201,2003,56982.73
686,13.9,2201,2004,57025.8
687,15.6,2201,2005,59655.44
688,15.4,2201,2006,62293.82
689,17.9,2201,2007,60773.159999999996
690,15.2,2201,2008,60062.850000000006
691,7.2,2220,2002,82782.15
692,7.7,2220,2003,82443.27
693,7.7,2220,2004,80330.64
694,8.2,2220,2005,82838.48
695,8.2,2220,2006,78913.0
696,8.4,2220,2007,83720.36
697,7.8,2220,2008,82938.6
698,7.6,2220,2009,81564.32
699,3.5,2230,2008,82389.15000000001
700,4.0,2230,2009,87607.39000000001
701,9.4,2232,2002,65637.0
702,11.6,2232,2003,66125.92
703,11.2,2232,2004,63357.840000000004
704,12.9,2232,2005,64738.32
705,13.7,2232,2006,65739.42
706,13.9,2232,2007,63198.52
707,17.0,2240,2002,61432.799999999996
708,15.9,2240,2003,65839.34000000001
709,13.7,2240,2004,70026.84
710,15.5,2240,2005,70363.84
711,14.3,2240,2006,73696.42
712,13.5,2240,2007,74308.59999999999
713,13.3,2240,2008,79817.40000000001
714,12.5,2240,2009,75006.13
715,8.6,2261,2002,81910.95
716,9.1,2261,2003,81156.88
717,9,2261,2004,79656.72
718,10.6,2261,2005,80353.28
719,10.1,2261,2006,82501.68
720,9.5,2261,2007,78707.76
721,8.5,2261,2008,79577.1
722,7.9,2261,2009,83268.6
723,29.6,2270,2002,43926.299999999996
724,24.9,2270,2003,44516.5
725,26,2270,2004,42240.12
726,34,2270,2005,44403.76
727,32.5,2270,2006,43227.68
728,27.3,2270,2007,43075.7
729,29.2,2270,2008,44594.55
730,30.9,2270,2009,41426.060000000005
731,10.5,2275,2009,65788.77
732,8.4,2280,2002,73840.8
733,8.9,2280,2003,73615.64
734,9.7,2280,2004,72054.84
735,9.9,2280,2005,73238.16
736,9.9,2280,2006,78918.84
737,9.9,2280,2007,75328.16
738,9.8,2280,2008,73269.90000000001
739,10.1,2282,2002,67051.05
740,10.5,2282,2003,65050.44
741,9.8,2282,2004,66070.68000000001
742,15.2,2282,2005,70687.6
743,14.2,2282,2006,69675.58
744,15.1,2282,2007,70048.59999999999
745,13.3,2282,2008,73441.35
746,14.1,2282,2009,71379.74
